,,,,,,,,,,,,,,,,,,,,,,,,,
"Stock Market Data Used in ""Irrational Exuberance"" Princeton University Press, 2000, 2005, 2015, updated",,,,,,,,,,,,Cyclically,,Cyclically ,,,,,,,,,,,
Robert J. Shiller ,,,,,,,,,,,,Adjusted,,Adjusted,,,,,,,,,,,
,,,,,,,,,,,,Price,,Total Return Price,,,,,,,,,,,
,,,,  Consumer,,,,, Real ,, Real ,Earnings,,Earnings,,,Monthly,Real,,,,,,,
,S&P,,,Price,,Long,,, Total ,, TR ,Ratio,,Ratio,,Excess,Total,Total,10 Year,10 Year,Real 10 Year,,,,
,Comp.,Dividend,Earnings,Index,Date  ,Interest,Real,Real, Return ,Real, Scaled ,P/E10 or,,TR P/E10 or,,CAPE,Bond,Bond,Annualized Stock,Annualized Bonds ,Excess Annualized ,,,,
Date,P,D,E,CPI,Fraction,Rate GS10,Price,Dividend, Price ,Earnings, Earnings ,CAPE,,TR CAPE,,Yield,Returns,Returns,Real Return,Real Return,Returns,,,,
1876.12,3.58,0.30,0.28,10.75,1876.96,4.46,110.91,9.29, 163.67 ,8.67, 12.80 ,NA,,NA,,,1.00,1.68,14.18%,8.10%,6.08%,,,,
1877.01,3.55,0.29,0.28,10.94,1877.04,4.45,108.06,8.85, 160.56 ,8.58, 12.74 ,NA,,NA,,,1.00,1.66,14.04%,8.00%,6.04%,,,,
1877.02,3.34,0.28,0.28,10.66,1877.12,4.44,104.39,8.80, 156.20 ,8.85, 13.25 ,NA,,NA,,,1.00,1.71,14.18%,7.56%,6.61%,,,,
1877.03,3.17,0.27,0.29,10.18,1877.21,4.43,103.71,8.92, 156.29 ,9.32, 14.05 ,NA,,NA,,,1.00,1.80,14.47%,7.05%,7.43%,,,,
1877.04,2.94,0.26,0.29,10.47,1877.29,4.42,93.56,8.38, 142.05 ,9.12, 13.85 ,NA,,NA,,,1.00,1.76,15.87%,7.32%,8.56%,,,,
1877.05,2.94,0.25,0.29,10.66,1877.37,4.41,91.89,7.95, 140.52 ,9.01, 13.78 ,NA,,NA,,,1.00,1.74,16.23%,7.48%,8.75%,,,,
1877.06,2.73,0.25,0.29,10.09,1877.46,4.40,90.16,8.09, 138.90 ,9.58, 14.75 ,NA,,NA,,,1.00,1.84,16.21%,6.99%,9.21%,,,,
1877.07,2.85,0.24,0.29,10.18,1877.54,4.40,93.24,7.71, 144.64 ,9.54, 14.80 ,NA,,NA,,,1.00,1.83,15.63%,7.20%,8.43%,,,,
1877.08,3.05,0.23,0.29,9.80,1877.62,4.39,103.66,7.70, 161.80 ,9.97, 15.56 ,NA,,NA,,,1.00,1.91,13.96%,6.63%,7.32%,,,,
1877.09,3.24,0.22,0.30,9.70,1877.71,4.38,111.20,7.46, 174.53 ,10.12, 15.89 ,NA,,NA,,,1.00,1.94,13.13%,6.63%,6.50%,,,,
1877.1,3.31,0.21,0.30,9.70,1877.79,4.37,113.60,7.15, 179.24 ,10.18, 16.07 ,NA,,NA,,,1.00,1.95,12.35%,6.48%,5.87%,,,,
1877.11,3.26,0.20,0.30,9.51,1877.87,4.36,114.12,6.97, 180.98 ,10.44, 16.56 ,NA,,NA,,,1.00,2.00,12.37%,6.12%,6.25%,,,,
1877.12,3.25,0.19,0.30,9.51,1877.96,4.35,113.77,6.65, 181.30 ,10.50, 16.74 ,NA,,NA,,,1.00,2.00,12.07%,5.85%,6.22%,,,,
1878.01,3.25,0.19,0.30,9.23,1878.04,4.34,117.29,6.83, 187.81 ,10.86, 17.38 ,NA,,NA,,,1.00,2.08,11.67%,5.38%,6.30%,,,,
1878.02,3.18,0.19,0.30,9.13,1878.12,4.33,115.96,6.87, 186.60 ,11.00, 17.70 ,NA,,NA,,,1.00,2.11,11.85%,5.39%,6.46%,,,,
1878.03,3.24,0.19,0.30,8.94,1878.21,4.32,120.66,6.98, 195.10 ,11.27, 18.22 ,NA,,NA,,,1.00,2.16,10.97%,5.17%,5.80%,,,,
1878.04,3.33,0.19,0.30,8.85,1878.29,4.31,125.35,7.03, 203.62 ,11.42, 18.55 ,NA,,NA,,,1.00,2.19,10.71%,5.18%,5.53%,,,,
1878.05,3.34,0.19,0.30,8.56,1878.37,4.30,129.91,7.23, 212.02 ,11.83, 19.31 ,NA,,NA,,,1.00,2.28,10.59%,4.96%,5.63%,,,,
1878.06,3.41,0.19,0.31,8.37,1878.46,4.29,135.65,7.36, 222.39 ,12.13, 19.89 ,NA,,NA,,,1.00,2.34,9.89%,4.85%,5.04%,,,,
1878.07,3.48,0.18,0.31,8.47,1878.54,4.28,136.88,7.25, 225.39 ,12.03, 19.81 ,NA,,NA,,,1.00,2.32,9.94%,4.85%,5.09%,,,,
1878.08,3.45,0.18,0.31,8.56,1878.62,4.27,134.19,7.13, 221.94 ,11.93, 19.73 ,NA,,NA,,,1.00,2.31,10.38%,4.97%,5.42%,,,,
1878.09,3.52,0.18,0.31,8.56,1878.71,4.26,136.92,7.10, 227.43 ,11.96, 19.87 ,NA,,NA,,,1.00,2.32,10.42%,4.97%,5.46%,,,,
1878.1,3.48,0.18,0.31,8.47,1878.79,4.25,136.88,7.15, 228.36 ,12.13, 20.23 ,NA,,NA,,,1.00,2.35,10.23%,4.73%,5.50%,,,,
1878.11,3.47,0.18,0.31,8.37,1878.87,4.24,138.04,7.19, 231.29 ,12.30, 20.61 ,NA,,NA,,,1.00,2.39,9.77%,4.49%,5.28%,,,,
1878.12,3.45,0.18,0.31,8.18,1878.96,4.23,140.43,7.33, 236.33 ,12.62, 21.24 ,NA,,NA,,,1.00,2.46,9.37%,4.25%,5.11%,,,,
1879.01,3.58,0.18,0.32,8.28,1879.04,4.22,144.05,7.31, 243.44 ,12.71, 21.47 ,NA,,NA,,,1.00,2.44,9.68%,4.74%,4.94%,,,,
1879.02,3.71,0.18,0.32,8.37,1879.12,4.20,147.58,7.29, 250.44 ,12.80, 21.72 ,NA,,NA,,,1.00,2.42,9.66%,4.97%,4.69%,,,,
1879.03,3.65,0.19,0.33,8.28,1879.21,4.19,146.87,7.44, 250.27 ,13.18, 22.46 ,NA,,NA,,,1.00,2.46,9.61%,4.96%,4.66%,,,,
1879.04,3.77,0.19,0.33,8.18,1879.29,4.17,153.46,7.60, 262.58 ,13.57, 23.21 ,NA,,NA,,,1.00,2.50,9.10%,4.82%,4.29%,,,,
1879.05,3.94,0.19,0.34,8.18,1879.37,4.15,160.38,7.66, 275.52 ,13.81, 23.72 ,NA,,NA,,,1.00,2.52,9.18%,5.06%,4.12%,,,,
1879.06,3.96,0.19,0.35,8.09,1879.46,4.14,163.09,7.83, 281.29 ,14.21, 24.51 ,NA,,NA,,,1.00,2.56,9.17%,4.92%,4.26%,,,,
1879.07,4.04,0.19,0.35,8.18,1879.54,4.12,164.45,7.80, 284.76 ,14.28, 24.73 ,NA,,NA,,,1.00,2.54,8.85%,5.02%,3.83%,,,,
1879.08,4.07,0.19,0.36,8.18,1879.62,4.10,165.67,7.87, 288.01 ,14.52, 25.24 ,NA,,NA,,,1.00,2.55,8.91%,5.00%,3.91%,,,,
1879.09,4.22,0.20,0.36,8.47,1879.71,4.09,165.99,7.67, 289.67 ,14.26, 24.88 ,NA,,NA,,,1.00,2.48,9.01%,5.21%,3.80%,,,,
1879.1,4.68,0.20,0.37,8.94,1879.79,4.07,174.29,7.33, 305.23 ,13.72, 24.02 ,NA,,NA,,,1.00,2.36,8.28%,5.77%,2.51%,,,,
1879.11,4.93,0.20,0.37,9.42,1879.87,4.05,174.33,7.01, 306.31 ,13.23, 23.25 ,NA,,NA,,,1.00,2.25,8.18%,6.31%,1.87%,,,,
1879.12,4.92,0.20,0.38,9.70,1879.96,4.04,168.86,6.86, 297.71 ,13.04, 22.99 ,NA,,NA,,,1.00,2.19,8.33%,6.47%,1.86%,,,,
1880.01,5.11,0.21,0.39,9.99,1880.04,4.02,170.37,6.83, 301.37 ,12.98, 22.95 ,NA,,NA,,,1.01,2.14,8.62%,7.03%,1.59%,,,,
1880.02,5.20,0.21,0.40,9.99,1880.12,3.99,173.37,7.00, 307.71 ,13.28, 23.57 ,NA,,NA,,,1.01,2.15,8.31%,6.99%,1.33%,,,,
1880.03,5.30,0.22,0.41,10.09,1880.21,3.97,175.03,7.10, 311.72 ,13.46, 23.97 ,NA,,NA,,,1.01,2.14,8.13%,7.04%,1.08%,,,,
1880.04,5.18,0.22,0.42,9.70,1880.29,3.94,177.78,7.55, 317.73 ,14.30, 25.56 ,NA,,NA,,,1.01,2.24,8.18%,6.59%,1.59%,,,,
1880.05,4.77,0.23,0.43,9.42,1880.37,3.91,168.67,7.96, 302.64 ,15.06, 27.02 ,NA,,NA,,,1.01,2.32,9.07%,6.10%,2.97%,,,,
1880.06,4.79,0.23,0.44,9.23,1880.46,3.89,172.87,8.30, 311.41 ,15.70, 28.28 ,NA,,NA,,,1.01,2.38,8.71%,5.84%,2.87%,,,,
1880.07,5.01,0.24,0.44,9.23,1880.54,3.86,180.81,8.48, 326.99 ,16.03, 28.99 ,NA,,NA,,,1.01,2.39,8.14%,5.80%,2.34%,,,,
1880.08,5.19,0.24,0.45,9.23,1880.62,3.83,187.30,8.66, 340.04 ,16.36, 29.70 ,NA,,NA,,,1.01,2.41,7.11%,5.38%,1.73%,,,,
1880.09,5.18,0.25,0.46,9.32,1880.71,3.81,185.04,8.75, 337.25 ,16.52, 30.11 ,NA,,NA,,,1.01,2.40,6.93%,5.32%,1.61%,,,,
1880.1,5.33,0.25,0.47,9.32,1880.79,3.78,190.39,8.93, 348.37 ,16.85, 30.83 ,NA,,NA,,,1.01,2.41,6.13%,5.28%,0.85%,,,,
1880.11,5.61,0.26,0.48,9.42,1880.87,3.75,198.37,9.02, 364.34 ,17.00, 31.23 ,NA,,NA,,,1.01,2.40,5.15%,5.60%,-0.45%,,,,
1880.12,5.84,0.26,0.49,9.51,1880.96,3.73,204.44,9.10, 376.88 ,17.15, 31.62 ,NA,,NA,,,1.01,2.39,4.59%,5.66%,-1.08%,,,,
1881.01,6.19,0.27,0.49,9.42,1881.04,3.70,218.88,9.37, 404.94 ,17.18, 31.78 ,18.47,,24.14,,-1.05%,1.00,2.42,4.54%,5.65%,-1.11%,,,,
1881.02,6.17,0.27,0.48,9.51,1881.12,3.69,215.99,9.45, 401.05 ,16.86, 31.31 ,18.15,,23.66,,-1.14%,1.00,2.41,4.68%,5.62%,-0.94%,,,,
1881.03,6.24,0.28,0.48,9.51,1881.21,3.69,218.44,9.63, 407.09 ,16.72, 31.15 ,18.27,,23.77,,-1.31%,1.00,2.42,4.24%,5.49%,-1.25%,,,,
1881.04,6.22,0.28,0.47,9.61,1881.29,3.68,215.59,9.70, 403.28 ,16.40, 30.69 ,17.95,,23.31,,-0.75%,1.00,2.40,4.60%,5.46%,-0.87%,,,,
